transaction_id,status,reconciled_date
1,unreconciled,
2,unreconciled,
3,unreconciled,
4,unreconciled,
5,reconciled,
6,unreconciled,
7,reconciled,
8,reconciled,
9,unreconciled,
10,unreconciled,
11,reconciled,
12,reconciled,
13,reconciled,
14,reconciled,
15,reconciled,
16,reconciled,
17,reconciled,
18,reconciled,
19,unreconciled,
20,reconciled,
21,unreconciled,
22,reconciled,
23,reconciled,
24,reconciled,
25,reconciled,
26,unreconciled,
27,reconciled,
28,reconciled,
29,unreconciled,
30,unreconciled,
31,reconciled,
32,reconciled,
33,reconciled,
34,reconciled,
35,reconciled,
36,reconciled,
37,unreconciled,
38,reconciled,
39,reconciled,
40,reconciled,
41,unreconciled,
42,reconciled,
43,unreconciled,
44,unreconciled,
45,reconciled,
46,reconciled,
47,reconciled,
48,reconciled,
49,unreconciled,
50,reconciled,
51,unreconciled,
52,reconciled,
53,reconciled,
54,reconciled,
55,reconciled,
56,reconciled,
57,reconciled,
58,reconciled,
59,reconciled,
60,reconciled,
61,unreconciled,
62,reconciled,
63,reconciled,
64,reconciled,
65,reconciled,
66,reconciled,
67,reconciled,
68,unreconciled,
69,reconciled,
70,reconciled,
71,reconciled,
72,reconciled,
73,reconciled,
74,reconciled,
75,reconciled,
76,reconciled,
77,unreconciled,
78,reconciled,
79,unreconciled,
80,reconciled,
81,reconciled,
82,unreconciled,
83,reconciled,
84,unreconciled,
85,reconciled,
86,reconciled,
87,unreconciled,
88,reconciled,
89,reconciled,
90,reconciled,
91,reconciled,
92,unreconciled,
93,reconciled,
94,reconciled,
95,unreconciled,
96,reconciled,
97,reconciled,
98,reconciled,
99,reconciled,
100,reconciled,
101,reconciled,
102,reconciled,
103,reconciled,
104,reconciled,
105,unreconciled,
106,reconciled,
107,reconciled,
108,unreconciled,
109,reconciled,
110,reconciled,
111,reconciled,
112,reconciled,
113,unreconciled,
114,unreconciled,
115,reconciled,
116,reconciled,
117,reconciled,
118,reconciled,
119,reconciled,
120,reconciled,
121,reconciled,
122,reconciled,
123,reconciled,
124,reconciled,
125,reconciled,
126,reconciled,
127,unreconciled,
128,reconciled,
129,unreconciled,
130,reconciled,
131,unreconciled,
132,reconciled,
133,reconciled,
134,reconciled,
135,reconciled,
136,reconciled,
137,reconciled,
138,unreconciled,
139,reconciled,
140,reconciled,
141,reconciled,
142,reconciled,
143,reconciled,
144,reconciled,
145,reconciled,
146,unreconciled,
147,unreconciled,
148,reconciled,
149,reconciled,
150,unreconciled,
151,unreconciled,
152,reconciled,
153,unreconciled,
