transaction_id,date,vendor_id,account_id,amount,category,description
1,2026-06-09,1,1,9800.0,Opex,Invoice payment
2,2026-08-11,7,2,462.12,Opex,Invoice payment
3,2026-07-31,3,3,554.52,Opex,Invoice payment
4,2026-07-11,8,5,138.51,Capex,Invoice payment
5,2026-07-10,4,4,326.55,Opex,Invoice payment
6,2026-08-18,5,4,455.93,Opex,Invoice payment
7,2026-06-08,4,3,339.18,Opex,Invoice payment
8,2026-08-04,2,1,607.16,Opex,Invoice payment
9,2026-06-19,8,2,799.59,Opex,Invoice payment
10,2026-06-09,1,5,323.51,Opex,Invoice payment
11,2026-07-19,2,1,374.38,Capex,Invoice payment
12,2026-08-29,2,5,535.32,Opex,Invoice payment
13,2026-08-07,3,4,741.67,Capex,Invoice payment
14,2026-08-10,2,2,316.64,Opex,Invoice payment
15,2026-08-06,1,4,537.36,Opex,Invoice payment
16,2026-08-12,6,5,773.19,Opex,Invoice payment
17,2026-07-18,8,1,252.24,Capex,Invoice payment
18,2026-06-12,1,1,307.84,Opex,Invoice payment
19,2026-08-17,3,4,436.46,Opex,Invoice payment
20,2026-07-12,5,5,421.91,Opex,Invoice payment
21,2026-07-17,8,1,621.89,Opex,Invoice payment
22,2026-07-05,6,4,536.25,Opex,Invoice payment
23,2026-06-17,7,1,233.76,Opex,Invoice payment
24,2026-08-25,5,4,577.31,Capex,Invoice payment
25,2026-08-11,4,4,413.37,Opex,Invoice payment
26,2026-07-30,2,1,691.17,Opex,Invoice payment
27,2026-07-08,7,4,405.86,Opex,Invoice payment
28,2026-08-15,7,5,404.51,Opex,Invoice payment
29,2026-07-21,1,5,581.17,Opex,Invoice payment
30,2026-07-11,6,1,614.44,Opex,Invoice payment
31,2026-07-12,1,2,567.21,Opex,Invoice payment
32,2026-06-21,6,2,247.16,Opex,Invoice payment
33,2026-06-09,7,3,580.71,Opex,Invoice payment
34,2026-07-22,2,1,344.85,Opex,Invoice payment
35,2026-08-21,4,5,535.29,Opex,Invoice payment
36,2026-06-06,1,4,286.44,Opex,Invoice payment
37,2026-08-18,5,5,566.95,Opex,Invoice payment
38,2026-08-16,8,1,379.01,Opex,Invoice payment
39,2026-06-26,1,1,307.6,Capex,Invoice payment
40,2026-07-29,4,5,607.07,Opex,Invoice payment
41,2026-06-16,8,2,536.25,Opex,Invoice payment
42,2026-08-09,3,4,407.9,Opex,Invoice payment
43,2026-08-04,2,5,717.68,Opex,Invoice payment
44,2026-07-03,4,1,433.9,Opex,Invoice payment
45,2026-06-07,5,1,504.82,Opex,Invoice payment
46,2026-08-29,6,1,540.34,Opex,Invoice payment
47,2026-07-12,3,1,407.05,Capex,Invoice payment
48,2026-08-22,8,1,570.67,Opex,Invoice payment
49,2026-08-02,5,5,419.98,Opex,Invoice payment
50,2026-08-11,3,4,438.25,Opex,Invoice payment
51,2026-08-09,8,5,704.4,Capex,Invoice payment
52,2026-06-18,8,5,343.91,Opex,Invoice payment
53,2026-07-04,4,5,138.08,Opex,Invoice payment
54,2026-07-13,1,2,741.64,Opex,Invoice payment
55,2026-07-16,5,2,882.4,Opex,Invoice payment
56,2026-06-05,5,5,439.21,Capex,Invoice payment
57,2026-07-21,2,2,209.47,Opex,Invoice payment
58,2026-06-15,6,1,453.43,Opex,Invoice payment
59,2026-08-08,7,4,457.07,Opex,Invoice payment
60,2026-08-02,1,5,471.51,Opex,Invoice payment
61,2026-08-24,6,5,332.99,Capex,Invoice payment
62,2026-08-08,2,5,586.93,Opex,Invoice payment
63,2026-07-04,6,1,578.68,Opex,Invoice payment
64,2026-08-29,4,4,275.84,Capex,Invoice payment
65,2026-07-08,1,5,604.88,Capex,Invoice payment
66,2026-06-30,8,4,807.9,Opex,Invoice payment
67,2026-08-23,2,5,525.79,Opex,Invoice payment
68,2026-07-05,5,5,449.4,Opex,Invoice payment
69,2026-06-08,2,3,478.7,Opex,Invoice payment
70,2026-07-14,8,1,592.29,Opex,Invoice payment
71,2026-08-13,6,3,240.4,Opex,Invoice payment
72,2026-06-18,7,2,524.66,Capex,Invoice payment
73,2026-07-13,4,1,441.43,Capex,Invoice payment
74,2026-06-12,4,1,777.17,Opex,Invoice payment
75,2026-08-03,6,4,473.87,Capex,Invoice payment
76,2026-07-14,7,3,750.18,Opex,Invoice payment
77,2026-07-01,7,3,334.44,Opex,Invoice payment
78,2026-06-21,1,4,588.09,Opex,Invoice payment
79,2026-07-22,6,3,547.91,Opex,Invoice payment
80,2026-08-01,1,4,369.64,Opex,Invoice payment
81,2026-08-26,3,1,526.61,Opex,Invoice payment
82,2026-07-11,7,5,681.88,Opex,Invoice payment
83,2026-06-15,3,3,451.43,Opex,Invoice payment
84,2026-08-16,7,1,246.21,Opex,Invoice payment
85,2026-07-28,4,5,497.37,Opex,Invoice payment
86,2026-08-04,2,4,364.64,Opex,Invoice payment
87,2026-06-09,3,1,448.65,Opex,Invoice payment
88,2026-06-29,5,1,487.76,Opex,Invoice payment
89,2026-08-10,7,1,244.15,Capex,Invoice payment
90,2026-08-16,5,2,257.65,Opex,Invoice payment
91,2026-07-11,8,1,572.31,Opex,Invoice payment
92,2026-08-14,7,4,421.59,Opex,Invoice payment
93,2026-08-17,7,3,115.29,Opex,Invoice payment
94,2026-07-06,5,5,617.73,Opex,Invoice payment
95,2026-08-22,3,4,540.86,Opex,Invoice payment
96,2026-06-27,4,4,392.92,Opex,Invoice payment
97,2026-06-23,1,3,302.48,Opex,Invoice payment
98,2026-08-02,3,1,625.37,Opex,Invoice payment
99,2026-07-29,8,1,552.4,Capex,Invoice payment
100,2026-06-13,4,4,857.39,Opex,Invoice payment
101,2026-08-16,1,1,563.03,Opex,Invoice payment
102,2026-06-19,6,1,558.16,Opex,Invoice payment
103,2026-08-14,8,2,474.96,Opex,Invoice payment
104,2026-06-01,7,5,622.52,Capex,Invoice payment
105,2026-08-13,3,3,593.76,Capex,Invoice payment
106,2026-08-12,4,4,687.76,Opex,Invoice payment
107,2026-08-11,5,3,421.8,Opex,Invoice payment
108,2026-08-01,2,1,434.69,Opex,Invoice payment
109,2026-07-14,3,2,428.13,Opex,Invoice payment
110,2026-08-04,2,1,618.62,Capex,Invoice payment
111,2026-06-26,8,4,724.76,Opex,Invoice payment
112,2026-08-11,6,1,431.17,Opex,Invoice payment
113,2026-07-22,7,2,436.28,Opex,Invoice payment
114,2026-07-13,7,5,547.11,Opex,Invoice payment
115,2026-07-17,8,3,463.14,Opex,Invoice payment
116,2026-07-23,1,3,642.81,Opex,Invoice payment
117,2026-06-04,8,3,162.23,Opex,Invoice payment
118,2026-06-13,1,4,375.99,Opex,Invoice payment
119,2026-06-23,4,2,382.64,Opex,Invoice payment
120,2026-06-11,5,4,151.95,Capex,Invoice payment
121,2026-07-11,3,5,355.45,Capex,Invoice payment
122,2026-08-01,2,3,362.73,Opex,Invoice payment
123,2026-07-31,2,3,469.83,Opex,Invoice payment
124,2026-07-14,7,1,666.94,Opex,Invoice payment
125,2026-08-18,3,2,463.24,Capex,Invoice payment
126,2026-07-23,3,5,345.38,Opex,Invoice payment
127,2026-06-08,8,3,491.46,Opex,Invoice payment
128,2026-08-10,2,2,657.38,Opex,Invoice payment
129,2026-07-23,8,3,353.61,Opex,Invoice payment
130,2026-07-29,8,3,363.41,Opex,Invoice payment
131,2026-07-23,5,3,583.78,Opex,Invoice payment
132,2026-07-21,2,4,466.77,Opex,Invoice payment
133,2026-06-09,2,2,597.12,Opex,Invoice payment
134,2026-07-22,3,4,497.95,Opex,Invoice payment
135,2026-08-13,5,3,605.25,Opex,Invoice payment
136,2026-06-28,2,5,344.74,Opex,Invoice payment
137,2026-07-26,4,1,498.19,Opex,Invoice payment
138,2026-06-03,1,1,468.4,Opex,Invoice payment
139,2026-07-02,5,3,317.62,Opex,Invoice payment
140,2026-07-11,1,3,265.48,Capex,Invoice payment
141,2026-08-30,6,4,602.86,Opex,Invoice payment
142,2026-06-20,1,3,447.36,Capex,Invoice payment
143,2026-06-26,2,5,346.66,Opex,Invoice payment
144,2026-07-08,2,3,485.57,Opex,Invoice payment
145,2026-08-31,7,1,669.2,Opex,Invoice payment
146,2026-08-18,1,1,157.89,Opex,Invoice payment
147,2026-06-04,4,5,275.5,Opex,Invoice payment
148,2026-06-22,5,1,361.57,Opex,Invoice payment
149,2026-08-15,5,5,719.18,Opex,Invoice payment
150,2026-06-06,6,2,542.39,Opex,Invoice payment
151,2026-08-18,7,1,615.1,Opex,Invoice payment
152,2026-06-26,4,2,328.98,Opex,Invoice payment
153,2026-08-24,7,4,332.07,Opex,Invoice payment
154,2026-06-28,3,3,567.17,Opex,Invoice payment
155,2026-07-10,8,4,508.74,Opex,Invoice payment
156,2026-07-31,5,4,582.31,Capex,Invoice payment
157,2026-06-12,6,3,471.85,Opex,Invoice payment
158,2026-07-22,8,4,541.72,Opex,Invoice payment
159,2026-07-17,7,5,523.72,Opex,Invoice payment
160,2026-08-12,7,3,616.67,Opex,Invoice payment
161,2026-08-31,5,1,621.05,Opex,Invoice payment
162,2026-08-01,1,3,257.02,Opex,Invoice payment
163,2026-07-08,4,5,162.91,Opex,Invoice payment
164,2026-07-08,2,2,650.26,Opex,Invoice payment
165,2026-07-09,8,5,678.16,Opex,Invoice payment
166,2026-08-14,2,3,346.91,Opex,Invoice payment
167,2026-06-30,2,4,221.02,Opex,Invoice payment
168,2026-06-16,2,2,514.86,Opex,Invoice payment
169,2026-07-01,6,5,639.63,Opex,Invoice payment
170,2026-06-03,5,1,769.64,Opex,Invoice payment
171,2026-06-10,8,2,577.44,Opex,Invoice payment
172,2026-06-09,4,3,444.24,Opex,Invoice payment
173,2026-08-10,3,3,366.03,Opex,Invoice payment
174,2026-08-06,1,3,501.72,Opex,Invoice payment
175,2026-08-04,1,1,455.11,Opex,Invoice payment
176,2026-07-13,3,2,347.74,Opex,Invoice payment
177,2026-08-05,8,1,807.31,Opex,Invoice payment
178,2026-06-15,5,3,767.78,Capex,Invoice payment
179,2026-08-22,8,2,670.41,Opex,Invoice payment
180,2026-07-17,1,3,361.87,Opex,Invoice payment
181,2026-08-26,1,3,628.25,Opex,Invoice payment
182,2026-06-15,7,4,595.94,Opex,Invoice payment
183,2026-07-16,1,3,566.38,Capex,Invoice payment
184,2026-08-04,1,4,687.45,Capex,Invoice payment
185,2026-07-16,4,3,595.31,Capex,Invoice payment
186,2026-07-12,8,4,611.0,Opex,Invoice payment
187,2026-06-16,6,4,595.54,Opex,Invoice payment
188,2026-07-06,1,2,551.12,Opex,Invoice payment
189,2026-06-22,7,2,232.46,Opex,Invoice payment
190,2026-06-28,7,4,512.54,Opex,Invoice payment
191,2026-08-02,7,2,416.57,Opex,Invoice payment
192,2026-07-28,8,3,308.02,Opex,Invoice payment
193,2026-07-26,2,1,752.27,Opex,Invoice payment
194,2026-07-04,8,3,759.35,Opex,Invoice payment
195,2026-08-28,3,3,703.88,Opex,Invoice payment
196,2026-06-09,7,4,538.28,Opex,Invoice payment
197,2026-07-02,5,3,702.59,Opex,Invoice payment
198,2026-06-11,7,2,501.81,Opex,Invoice payment
199,2026-07-02,6,5,530.42,Opex,Invoice payment
200,2026-08-28,6,3,335.98,Opex,Invoice payment
201,2026-07-04,5,5,559.55,Opex,Invoice payment
202,2026-08-23,7,4,509.06,Opex,Invoice payment
203,2026-07-16,6,3,304.6,Opex,Invoice payment
204,2026-08-04,2,5,492.32,Opex,Invoice payment
205,2026-07-13,7,1,488.04,Opex,Invoice payment
206,2026-06-25,5,5,769.63,Opex,Invoice payment
207,2026-08-10,3,5,634.13,Opex,Invoice payment
208,2026-08-29,5,3,501.72,Opex,Invoice payment
209,2026-06-25,8,4,537.32,Opex,Invoice payment
210,2026-08-11,7,3,506.63,Opex,Invoice payment
211,2026-06-25,7,2,469.56,Opex,Invoice payment
212,2026-08-05,4,4,337.64,Opex,Invoice payment
213,2026-08-12,7,2,477.34,Capex,Invoice payment
214,2026-07-12,4,2,388.09,Opex,Invoice payment
215,2026-08-07,6,3,312.45,Opex,Invoice payment
216,2026-06-26,6,5,576.68,Capex,Invoice payment
217,2026-06-08,2,2,558.69,Opex,Invoice payment
218,2026-06-09,3,3,231.99,Opex,Invoice payment
219,2026-07-12,1,1,481.6,Capex,Invoice payment
220,2026-08-23,2,1,649.36,Opex,Invoice payment
221,2026-06-12,4,1,658.88,Opex,Invoice payment
222,2026-07-12,4,1,653.88,Opex,Invoice payment
223,2026-08-04,2,5,505.84,Opex,Invoice payment
224,2026-06-19,4,5,373.24,Opex,Invoice payment
225,2026-08-06,5,5,337.45,Opex,Invoice payment
226,2026-06-29,2,1,551.69,Opex,Invoice payment
227,2026-08-14,3,1,556.89,Opex,Invoice payment
228,2026-07-24,3,2,693.1,Opex,Invoice payment
229,2026-07-21,5,3,665.0,Opex,Invoice payment
230,2026-06-17,3,2,480.17,Opex,Invoice payment
231,2026-07-13,6,3,313.37,Capex,Invoice payment
232,2026-08-18,3,1,452.13,Opex,Invoice payment
233,2026-06-02,4,4,532.58,Opex,Invoice payment
234,2026-08-09,4,2,469.69,Opex,Invoice payment
235,2026-07-16,2,1,413.32,Opex,Invoice payment
236,2026-08-06,6,4,537.93,Opex,Invoice payment
237,2026-08-01,2,5,424.41,Opex,Invoice payment
238,2026-07-10,3,1,405.79,Opex,Invoice payment
239,2026-06-29,7,3,546.72,Capex,Invoice payment
240,2026-07-28,8,5,439.7,Capex,Invoice payment
241,2026-06-13,6,4,536.62,Opex,Invoice payment
242,2026-07-24,8,5,540.98,Opex,Invoice payment
243,2026-06-09,7,3,329.09,Opex,Invoice payment
244,2026-07-30,4,2,427.81,Opex,Invoice payment
245,2026-07-28,7,4,715.67,Opex,Invoice payment
246,2026-06-08,3,1,325.69,Capex,Invoice payment
247,2026-08-09,4,2,182.5,Opex,Invoice payment
248,2026-07-09,5,4,220.72,Opex,Invoice payment
249,2026-08-12,8,4,504.37,Opex,Invoice payment
250,2026-06-04,7,1,504.64,Capex,Invoice payment
251,2026-06-17,4,3,482.36,Opex,Invoice payment
252,2026-07-16,6,2,682.13,Opex,Invoice payment
253,2026-06-18,2,3,99.07,Opex,Invoice payment
254,2026-07-01,7,5,559.39,Capex,Invoice payment
255,2026-07-31,5,1,734.22,Opex,Invoice payment
256,2026-06-14,5,5,330.83,Opex,Invoice payment
257,2026-08-02,7,3,443.03,Opex,Invoice payment
258,2026-06-10,6,4,387.07,Capex,Invoice payment
259,2026-06-17,1,3,365.85,Opex,Invoice payment
260,2026-07-25,3,2,451.06,Opex,Invoice payment
261,2026-08-13,2,4,714.12,Capex,Invoice payment
262,2026-06-16,6,4,775.61,Opex,Invoice payment
263,2026-06-28,1,1,449.61,Opex,Invoice payment
264,2026-08-25,2,4,785.76,Opex,Invoice payment
265,2026-08-31,5,4,505.34,Opex,Invoice payment
266,2026-07-24,6,2,763.05,Opex,Invoice payment
267,2026-07-12,5,5,486.01,Opex,Invoice payment
268,2026-07-02,7,4,519.66,Opex,Invoice payment
269,2026-07-27,8,2,554.82,Capex,Invoice payment
270,2026-07-25,2,1,976.83,Opex,Invoice payment
271,2026-06-28,8,4,627.69,Opex,Invoice payment
272,2026-06-03,5,2,393.91,Opex,Invoice payment
273,2026-06-14,6,4,645.35,Opex,Invoice payment
274,2026-08-28,1,3,445.73,Opex,Invoice payment
275,2026-07-09,5,3,426.54,Capex,Invoice payment
276,2026-07-15,6,1,636.29,Capex,Invoice payment
277,2026-07-13,5,4,504.66,Opex,Invoice payment
278,2026-08-12,1,1,541.79,Opex,Invoice payment
279,2026-06-06,5,3,502.1,Opex,Invoice payment
280,2026-06-08,8,5,550.49,Opex,Invoice payment
281,2026-06-26,6,5,563.74,Opex,Invoice payment
282,2026-07-15,2,5,209.45,Opex,Invoice payment
283,2026-08-01,8,5,599.99,Opex,Invoice payment
284,2026-07-16,8,3,352.7,Opex,Invoice payment
285,2026-07-11,2,2,283.66,Opex,Invoice payment
286,2026-08-26,7,5,491.24,Opex,Invoice payment
287,2026-06-15,4,5,512.6,Opex,Invoice payment
288,2026-07-23,5,5,395.97,Opex,Invoice payment
289,2026-07-20,4,4,624.65,Opex,Invoice payment
290,2026-07-14,7,1,298.67,Opex,Invoice payment
291,2026-08-14,8,3,438.96,Opex,Invoice payment
292,2026-06-25,7,3,412.27,Opex,Invoice payment
293,2026-08-27,8,5,493.01,Opex,Invoice payment
294,2026-07-01,8,2,541.83,Opex,Invoice payment
295,2026-07-21,1,2,348.82,Opex,Invoice payment
296,2026-07-18,3,1,608.64,Capex,Invoice payment
297,2026-08-18,6,5,509.45,Opex,Invoice payment
298,2026-07-11,5,4,216.21,Opex,Invoice payment
299,2026-06-27,1,1,206.21,Opex,Invoice payment
300,2026-06-02,1,3,498.15,Capex,Invoice payment
301,2026-07-04,5,3,466.85,Opex,Invoice payment
302,2026-08-16,5,3,484.49,Capex,Invoice payment
303,2026-06-01,2,5,495.8,Opex,Invoice payment
304,2026-08-22,2,1,533.83,Opex,Invoice payment
305,2026-07-20,2,2,642.15,Opex,Invoice payment
306,2026-06-13,5,1,333.33,Opex,Invoice payment
307,2026-06-28,1,2,324.2,Opex,Invoice payment
308,2026-07-21,5,5,336.0,Opex,Invoice payment
309,2026-06-30,4,5,543.34,Opex,Invoice payment
310,2026-06-10,4,1,686.74,Capex,Invoice payment
311,2026-08-01,6,4,435.3,Opex,Invoice payment
312,2026-08-01,5,2,124.75,Opex,Invoice payment
313,2026-06-11,6,1,244.4,Opex,Invoice payment
314,2026-06-26,7,2,375.04,Opex,Invoice payment
315,2026-06-23,8,1,416.34,Opex,Invoice payment
316,2026-07-31,7,3,438.74,Capex,Invoice payment
317,2026-08-07,5,5,505.79,Opex,Invoice payment
318,2026-08-06,4,3,453.24,Opex,Invoice payment
319,2026-08-26,2,4,657.4,Opex,Invoice payment
320,2026-08-10,5,3,398.6,Opex,Invoice payment
