payout_id,vendor_id,date,amount,status
1,8,2026-08-05,2404.28,paid
2,2,2026-06-03,2516.32,paid
3,3,2026-06-20,2935.29,paid
4,4,2026-07-23,1474.33,pending
5,7,2026-08-29,1864.13,paid
6,6,2026-06-15,2448.36,paid
7,7,2026-06-10,2034.45,paid
8,2,2026-08-26,1329.6,paid
9,7,2026-08-28,2248.77,paid
10,7,2026-06-16,2347.2,paid
11,4,2026-07-07,2052.78,paid
12,5,2026-07-28,2131.75,paid
13,1,2026-06-18,1844.78,paid
14,7,2026-07-01,2886.97,paid
15,8,2026-07-07,1459.58,pending
16,4,2026-07-30,1647.61,pending
17,5,2026-06-29,2006.59,paid
18,4,2026-07-08,2527.37,pending
19,1,2026-06-27,1101.58,paid
20,5,2026-08-09,1213.82,pending
21,6,2026-06-15,777.36,pending
22,8,2026-06-22,2019.62,paid
23,8,2026-06-23,1329.02,paid
24,4,2026-08-23,1769.27,pending
25,8,2026-08-26,2396.83,pending
26,5,2026-07-17,1615.07,pending
27,6,2026-06-15,2138.77,paid
28,5,2026-08-09,1820.4,paid
29,8,2026-07-16,2403.27,pending
30,6,2026-08-18,2285.08,paid
31,1,2026-07-04,1584.84,paid
32,1,2026-08-31,1898.81,paid
33,4,2026-08-14,2626.25,paid
34,5,2026-06-21,2236.03,paid
35,6,2026-08-06,1161.82,paid
36,4,2026-06-27,2393.37,paid
37,5,2026-07-03,1349.23,paid
38,8,2026-06-24,2847.51,pending
39,3,2026-08-02,2614.46,paid
40,4,2026-06-25,2173.93,paid
41,5,2026-07-29,2094.34,paid
42,4,2026-07-24,1874.58,pending
43,8,2026-08-09,2407.11,paid
44,8,2026-08-31,1777.53,paid
45,5,2026-06-01,2141.34,paid
46,4,2026-08-31,2523.16,paid
47,5,2026-06-11,1662.92,paid
48,2,2026-07-19,1630.28,pending
49,4,2026-07-02,1283.38,paid
50,2,2026-07-29,1361.32,paid
51,2,2026-08-06,902.96,pending
52,1,2026-08-19,2437.9,paid
53,5,2026-07-07,3085.35,pending
54,1,2026-08-25,2855.2,paid
55,6,2026-06-30,1024.35,paid
56,4,2026-06-19,2434.91,pending
57,3,2026-07-05,2853.26,paid
58,7,2026-07-19,1725.91,paid
59,5,2026-08-01,2060.87,pending
60,6,2026-08-16,795.26,paid
